HIP id,Vmag,RA (deg),Dec (deg),Par(mas),(B-V),Sp class,,
5280,7.01,16.88291179,-41.74654669,29.65,0.57,F8V,,
755,7.02,2.31906353,65.07079864,17.03,0.93,K0,,
1573,7.03,4.90192752,-7.2236756,21.59,0.51,F5,,
3293,7.03,10.50597309,40.6884102,20.38,0.45,F5,,
5977,7.03,19.20972157,21.05204582,16.53,0.41,F6V,,
669,7.04,2.06820906,-14.82446576,36.18,0.62,G2/G3V,,
58,7.05,0.17376341,62.17600484,26.06,0.52,G0,,
606,7.06,1.84336535,-25.35632439,20.63,0.46,F5V,,
9473,7.06,30.46832359,7.86448845,21.43,0.51,F2,,
759,7.07,2.33100682,17.53423872,19.28,0.64,G2III,,
6221,7.07,19.93874208,-68.89849097,18.84,0.51,F6V,,
8548,7.07,27.56381549,-6.70418331,23.26,0.57,F8,,
7699,7.08,24.78136774,-56.42929868,20.37,0.47,F5V,,
2239,7.1,7.11006492,-29.28464781,17.88,0.5,F5V,,
3006,7.11,9.56130273,84.67502086,24.8,0.55,F8,,
6643,7.12,21.30145418,28.56707875,22.65,0.58,F8,,
462,7.13,1.37961808,-9.61729691,19.81,0.45,F5,,
8398,7.13,27.08442078,-41.49543661,22.16,0.64,G4V,,
9269,7.14,29.77693064,33.21053783,40.74,0.77,G5,,
3850,7.15,12.36015525,-23.21277388,53.09,0.77,G8/K0V,,
4148,7.15,13.25298157,-30.35699137,71.01,0.94,K2V,,
7446,7.15,23.97042741,-17.5319768,23.3,0.71,G6IV,,
6439,7.16,20.679752,17.19699142,19.52,0.47,F5V,,
5623,7.17,18.04322839,-73.90714356,16.15,0.59,F8/G0V,,
6379,7.17,20.49667464,76.7103681,59.46,0.83,K0,,
7404,7.17,23.85901886,-13.38112035,27.36,0.59,G0V,,
5099,7.18,16.34125379,-40.26995916,18.21,0.42,F3V,,
5784,7.18,18.54367268,58.81244629,23.31,0.55,F5,,
6943,7.18,22.35975641,42.28205058,22.04,0.45,F5,,
3533,7.19,11.26559075,75.93802855,26.87,0.76,G5,,
1427,7.21,4.45769929,16.33108213,21.66,0.48,F6V,,
6285,7.21,20.1543232,54.96255076,30.08,0.59,G0,,
1031,7.22,3.20991289,-57.91269485,49.18,0.78,K0V,,
5207,7.22,16.65204665,13.88470299,17.23,0.45,F6V,,
5534,7.23,17.72594414,9.56332494,25.25,0.57,G0,,
5276,7.24,16.86936763,41.25901151,19.97,0.54,F5,,
5684,7.24,18.27426204,41.65439442,22.36,0.77,G5,,
6914,7.24,22.25693873,74.20533813,17.25,0.67,G5,,
7082,7.24,22.81247885,-65.11866698,14.48,0.89,G8/K0IV,,
5144,7.26,16.46423982,4.90971755,22.69,0.48,F6V,,
5709,7.26,18.36002963,-39.54017516,18.95,0.42,F3/F5V,,
1954,7.27,6.17641442,-53.98392993,36.15,0.68,G8IV+...,,
8109,7.27,26.05886914,54.88648394,22.38,0.6,F8,,
4005,7.28,12.85403677,32.65728762,18.78,0.56,F8,,
6454,7.3,20.73625646,7.4186988,22.13,0.83,G5,,
9308,7.3,29.89851771,-65.4483543,14.86,0.42,F3V,,
5913,7.32,19.0186531,61.90758398,16.95,0.42,F0V,,
7090,7.32,22.83085664,29.41330395,23.18,0.62,G0V,,
142,7.33,0.45374866,66.30600204,16.04,0.73,K0,,
7599,7.33,24.47330813,-60.51154249,25.39,0.63,G1V,,
3086,7.34,9.80336453,3.13320203,21.79,0.63,G2V,,
4747,7.34,15.25731681,-4.64826368,24.76,0.55,F8,,
7669,7.35,24.68680807,-5.73525633,18.95,0.47,F5,,
3206,7.36,10.20415817,40.18879925,57.9,0.94,K2V,,
9659,7.36,31.06948079,60.24447153,22.16,0.56,F6IV,,
2453,7.37,7.80170012,69.78543643,23.95,0.5,F8,,
3210,7.37,10.21444826,-53.20980159,21.91,0.54,F7V,,
9381,7.37,30.13244282,-40.73020092,28.54,0.65,G3V,,
2712,7.38,8.62236013,47.91539661,21.2,0.55,F8,,
6653,7.38,21.33361136,1.46100409,25.35,0.68,G5,,
4290,7.41,13.74745006,24.10070725,33.92,0.65,G5,,
